field,description
brand,品牌，例如 csl、1O1O、HKT Enterprise、HKT SME、NETVIGATOR
service_generation,套餐网络世代，按产品分类/套餐名称归纳为 4G、4.5G 或 5G
customer_segment,客户分层：个人客户、高端个人客户或企业客户
plan_family,便于分析的套餐族，例如 csl 5G、1O1O 5G、csl Ultra 300
monthly_fee_hkd,公开月费，单位 HKD
published_price_hkd,非月费产品的公开价格，单位 HKD；不替代月费字段
price_billing_unit,published_price_hkd 的计费单位，例如 day
local_data_gb,本地高速数据量，单位 GB；空值表示官方页面未披露或不适用
roaming_data_gb,中国内地/澳门等漫游数据量，单位 GB；空值表示官方页面未披露或不适用
post_fup_speed_mbps,高速数据用完后的限速，单位 Mbps
source_status,parsed/parsed_historical_archive 表示已结构化；source gap 类状态不能估算
evidence_excerpt,从公开来源抽取的证据摘录，用于人工复核
