主体,公司全称,股票代码,指标,FY2023,FY2024,FY2025,单位,口径说明,主要来源
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,营业收入/收益,"4,896","4,643","5,448",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,收入同比增长,0.29%,-5.17%,17.34%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,毛利,"3,130","3,018","3,243",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,毛利率,63.93%,65.00%,59.53%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,经营利润/营业利润,-96,-1,4,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,经营利润率,-1.96%,-0.02%,0.07%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,净利润/股东应占利润,-52,6,-25,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,EBITDA,787,904,928,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,EBITDA率,16.07%,19.47%,17.03%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,经营现金流,"1,127","1,081","1,211",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
