subject,period,grain,metric_zh,value,unit,verification_status,official_value,official_unit,verification_count,verification_method,official_source_url,verification_note
3HK / Hutchison,H1 2021,half_year,资本开支,-324,millions HKD,official_only,-324,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2021/ir2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2021,half_year,资本开支,-550,millions HKD,official_only,-550,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2022,half_year,资本开支,-157,millions HKD,official_only,-157,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2022/ir2022.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2022,half_year,资本开支,-339,millions HKD,official_only,-339,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2022/ar2022.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2023,half_year,资本开支,-163,millions HKD,official_only,-163,millions HKD,3,official_interim_capex_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2023,half_year,资本开支,-318,millions HKD,official_only,-318,millions HKD,5,official_full_year_minus_h1_capex_reconciliation,https://www.hthkh.com/en/ir/reports/ar2023/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2024,half_year,资本开支,-166,millions HKD,official_only,-166,millions HKD,3,official_interim_capex_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2024,half_year,资本开支,-268,millions HKD,official_only,-268,millions HKD,5,official_full_year_minus_h1_capex_reconciliation,https://www.hthkh.com/en/ir/reports/ar2024/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2025,half_year,资本开支,-174,millions HKD,official_only,-174,millions HKD,2,official_interim_capex_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2025,half_year,资本开支,-259,millions HKD,official_only,-259,millions HKD,5,official_full_year_minus_h1_capex_reconciliation,https://www.hthkh.com/en/ir/reports/ar2025/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
