archive_year,archive_month,brand,service_generation,customer_segment,plan_family,plan_name,monthly_fee_hkd,published_price_hkd,price_billing_unit,local_data_gb,roaming_data_gb,post_fup_speed_mbps,contract_months,local_voice,add_on_charges_hkd,source_status,snapshot_id,source_url,archive_url,evidence_excerpt,record_key
2007,12,1O1O,,高端个人客户,1O1O 5G,1O1O historical 3G Mobile TV Package HK$30,30,,,,,,,3G Mobile TV service with 50 included viewing minutes per month under the standard package.,Official tariff/list price. HK$1/min thereafter. The page states a promotional doubling to 100 minutes for the first 12 months; this temporary promotion is not recorded as the standard included entitlement. Adult stations carry separately listed monthly charges and are excluded from the base package fee.,parsed_historical_archive,1010_3g_mobile_tv_20071230,http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/3g_mobile_tv/charges_and_subscription/charges_and_subscription.jsp?language=eng,https://web.archive.org/web/20071230054428id_/http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/3g_mobile_tv/charges_and_subscription/charges_and_subscription.jsp?language=eng,3G Mobile TV 3G Mobile TV 1 Month Free Trial 3G Mobile TV first-time users can enjoy 1-month free trial of $30 / 100 3G Mobile TV minutes. Monthly service charge of $30 / 100 minutes will resume after free trial period. 3G Mobile TV Monthly Fee Package Includes Thereafter $30 100mins # $1 / min Remarks: 1. 3G Mobile TV minutes will be counted in minutes as a unit. Airtime less than 1 minute will be counted as 1 minute. 2. An additional $28 / month (each station) will be charged for viewing Adult Stations (91/9,7f564999730aa4a3
2007,02,1O1O,,高端个人客户,1O1O 5G,1O1O historical Football League Package HK$28,28,,,,,,,"League match schedule, odds, news, half-time updates and results summaries.","Official tariff/list price. Pay-as-you-go content, live-score/SMS charges, roaming charges and other separately listed content charges are excluded from the monthly package fee.",parsed_historical_archive,1010_football_service_20070223,http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/football/charges_and_subscription/charges_and_subscription.jsp,https://web.archive.org/web/20070223072430id_/http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/football/charges_and_subscription/charges_and_subscription.jsp,"bile data roaming charge varies between different roaming destination, and will be calculated in unit of (KB). For details, please click here . Other Package Charge Service Plan Include Monthly Fee Subscribe via handset League Package Match Schedule (Home/Away/Draw Odds) + News + Half Time Updates + Results Summaries $28 �� 112 �� 28 # � Team Package $8 �� 112 �� �� 8 �� Team Code � # Team Code English Premier League Italian Series A Spanish Primera Division German Bundesliga English Championship League Remarks: Information on football",8358246c53948fa0
2007,02,1O1O,,高端个人客户,1O1O 5G,1O1O historical Football Channel Package HK$33,33,,,,,,,Unlimited browsing of specified football video/text content and mobile online betting service under the stated fair-use conditions.,"Official tariff/list price. Pay-as-you-go content, live-score/SMS charges, roaming charges and other separately listed content charges are excluded from the monthly package fee.",parsed_historical_archive,1010_football_service_20070223,http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/football/charges_and_subscription/charges_and_subscription.jsp,https://web.archive.org/web/20070223072430id_/http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/football/charges_and_subscription/charges_and_subscription.jsp,"er Themes JAVA Games MMS eBooks Keyword To Your Message No. of Characters Left This SMS will be charged as Mobile No Password New Concatenated SMS Service Charges Home 3G Service & Infotainment Football Football Charges Football Channel Package † Contents $33 / month Unlimited viewing of the contents below: Video Clips: EPL Instant Results, Match & Weekly Summaries, Pre-match Analysis Text Content: Match Schedule, Results, Odds & Football News Unlimited use of Mobile Online Betting",439688d98091d6bb
2007,02,1O1O,,高端个人客户,1O1O 5G,1O1O historical Football Team Package HK$8,8,,,,,,,Team-focused football information package under the stated service terms.,"Official tariff/list price. Pay-as-you-go content, live-score/SMS charges, roaming charges and other separately listed content charges are excluded from the monthly package fee.",parsed_historical_archive,1010_football_service_20070223,http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/football/charges_and_subscription/charges_and_subscription.jsp,https://web.archive.org/web/20070223072430id_/http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/football/charges_and_subscription/charges_and_subscription.jsp,"ls, please click here . Other Package Charge Service Plan Include Monthly Fee Subscribe via handset League Package Match Schedule (Home/Away/Draw Odds) + News + Half Time Updates + Results Summaries $28 �� 112 �� 28 # � Team Package $8 �� 112 �� �� 8 �� Team Code � # Team Code English Premier League Italian Series A Spanish Primera Division German Bundesliga English Championship League Remarks: Information on football leagues will be provided once the",9f003afa04a47181
2008,02,1O1O,,高端个人客户,1O1O 5G,1O1O historical Football League Package HK$28,28,,,,,,,"League match schedule, odds, news, half-time updates and results summaries.","Official tariff/list price. Pay-as-you-go content, live-score/SMS charges, roaming charges and other separately listed content charges are excluded from the monthly package fee.",parsed_historical_archive,1010_football_service_20080212,http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/football/charges_and_subscription/charges_and_subscription.jsp,https://web.archive.org/web/20080212083206id_/http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/football/charges_and_subscription/charges_and_subscription.jsp,on WAP and unlimited use of Mobile Online Betting Service. Additional roaming charges apply for using the service while roaming. Other Package Charge Service Plan Information Package Service Charge Subscribe via handset League Package Match Schedule ( Home/ Away/ Draw Odds ) + Match Info / Commentaries + Half Time Updates + Results Updates $28 �� 112 �� 28 # Team Package $8 �� 112 �� 8 �� Team Code # Team Code English Premier League Italian Series A Spanish Primera Division German Bundesliga English Championship League Remarks: Information on football leagues,ecbdf133ec38a7f5
2008,02,1O1O,,高端个人客户,1O1O 5G,1O1O historical Football Channel Package HK$33,33,,,,,,,Unlimited browsing of specified football video/text content and mobile online betting service under the stated fair-use conditions.,"Official tariff/list price. Pay-as-you-go content, live-score/SMS charges, roaming charges and other separately listed content charges are excluded from the monthly package fee.",parsed_historical_archive,1010_football_service_20080212,http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/football/charges_and_subscription/charges_and_subscription.jsp,https://web.archive.org/web/20080212083206id_/http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/football/charges_and_subscription/charges_and_subscription.jsp,"er Themes JAVA Games MMS eBooks Keyword To Your Message No. of Characters Left This SMS will be charged as Mobile No Password New Concatenated SMS Service Charges Home 3G Service & Infotainment Football Football Charges Football Channel Package Contents $33 / month* Unlimited viewing of the contents below: Football Info : including odds, news, match schedule, league info, results (after 12 hours) Video Clips: including in-match preview analysis, match and daily summaries Unlimited",db27d9fc61a4351a
2008,02,1O1O,,高端个人客户,1O1O 5G,1O1O historical Football Team Package HK$8,8,,,,,,,Team-focused football information package under the stated service terms.,"Official tariff/list price. Pay-as-you-go content, live-score/SMS charges, roaming charges and other separately listed content charges are excluded from the monthly package fee.",parsed_historical_archive,1010_football_service_20080212,http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/football/charges_and_subscription/charges_and_subscription.jsp,https://web.archive.org/web/20080212083206id_/http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/football/charges_and_subscription/charges_and_subscription.jsp,e Charge Service Plan Information Package Service Charge Subscribe via handset League Package Match Schedule ( Home/ Away/ Draw Odds ) + Match Info / Commentaries + Half Time Updates + Results Updates $28 �� 112 �� 28 # Team Package $8 �� 112 �� 8 �� Team Code # Team Code English Premier League Italian Series A Spanish Primera Division German Bundesliga English Championship League Remarks: Information on football leagues will be provided once the leag,6bc08c607c1c35ab
2008,04,1O1O,,高端个人客户,1O1O 5G,1O1O historical RingMaster Poly/Mono Ringtone Package HK$15,15,,,,,,,Two designated poly/mono ringtones and Ringmaster special offer.,"Official tariff/list price. Pay-as-you-go downloads, previews, extra connecting tones, mobile data/WAP and roaming charges are separately listed and excluded from the monthly package fee.",parsed_historical_archive,1010_music_service_20080430,http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/music/charges_and_subscription/charges_and_subscription.jsp,https://web.archive.org/web/20080430190308id_/http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/music/charges_and_subscription/charges_and_subscription.jsp,"be charged for pre-listen to MP3 Ringtone / Full Song / Dual Download. * $5 will be charged for each additional connecting tone selected, valid for 30 days. Other Package Charge RingMaster Package Monthly Fee Including Poly/Mono Ringtone + Ringmaster Special Offer# $15 2 designated Poly/Mono Ringtones + 2 designated Ringmaster MP3 Ringtone + Ringmaster Special Offer# $25 2 designated MP3 Ringtones + 2 designated Ringmaster ""RingMaster"" Power Station# $15 1 Channel $28 2 or above Chann",716c6a63205a5d69
2008,04,1O1O,,高端个人客户,1O1O 5G,1O1O historical RingMaster Power Station 1 Channel HK$15,15,,,,,,,One RingMaster Power Station channel.,"Official tariff/list price. Pay-as-you-go downloads, previews, extra connecting tones, mobile data/WAP and roaming charges are separately listed and excluded from the monthly package fee.",parsed_historical_archive,1010_music_service_20080430,http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/music/charges_and_subscription/charges_and_subscription.jsp,https://web.archive.org/web/20080430190308id_/http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/music/charges_and_subscription/charges_and_subscription.jsp,"e Including Poly/Mono Ringtone + Ringmaster Special Offer# $15 2 designated Poly/Mono Ringtones + 2 designated Ringmaster MP3 Ringtone + Ringmaster Special Offer# $25 2 designated MP3 Ringtones + 2 designated Ringmaster ""RingMaster"" Power Station# $15 1 Channel $28 2 or above Channels 8 songs / Channels Self- selected Ringmaster Package# $20 3 self-selected connecting tone per month #Thereafter charge of Power Station is $5 per connecting tone for 30 days. Ringtones Package Mo",80aa5ac6003b7094
2008,04,1O1O,,高端个人客户,1O1O 5G,1O1O historical Music Channel Package HK$20,20,,,,,,,"20 MV viewings, one MP3 ringtone and one colour wallpaper for selected content.","Official tariff/list price. Pay-as-you-go downloads, previews, extra connecting tones, mobile data/WAP and roaming charges are separately listed and excluded from the monthly package fee.",parsed_historical_archive,1010_music_service_20080430,http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/music/charges_and_subscription/charges_and_subscription.jsp,https://web.archive.org/web/20080430190308id_/http://1010.hkcsl.com:80/jsp/3g_service_and_infotainment/music/charges_and_subscription/charges_and_subscription.jsp,"gtones Wallpaper Themes JAVA Games MMS eBooks Keyword To Your Message No. of Characters Left This SMS will be charged as Mobile No Password New Concatenated SMS Service Charges Home 3G Service & Infotainment Music Music Music Channel Package Including $20 / month 20 MV viewings, 1 MP3 ringtone & 1 colour wallpaper for selected content. * Text content can be viewed unlimitedly. For viewing video clips, please refer to the Fair Usage Policy of CSL (Clause 3.6 of the Mobile Radio T",c9adb183ecf46060
