operator_id,years,metric,type,selected_basis,detail
bharti_airtel,2023-2025,financials,restatement_or_scope_change,latest official comparative basis,Later investor packs changed comparative consolidated figures; latest like-for-like official comparatives are retained and earlier values remain documented in row notes.
bharti_airtel,2019,network_towers,scope_conflict,"group KPI 204,356","The FY2019 India-mobile manufactured-capital section reports 181,079 network towers. The group performance-at-a-glance series reports 204,356 and is retained for cross-year comparability."
bharti_airtel,2019,total_customers,restatement_or_scope_change,403.645 million repeated by three independent official documents,The later FY2023 annual report alone gives 402.418 million for FY2019. It is preserved as a later single-document restatement but cannot replace the three-document exact basis.
bharti_airtel,2019,earnings_before_tax,definition_conflict,"annual KPI earnings before tax INR -17,318 million","Three annual reports repeat INR -17,318 million on the annual KPI basis; the contemporaneous IR-pack profit-before-tax line of INR -46,606 million uses a different exceptional-item presentation and is excluded from the exact-source set."
bharti_airtel,2019,capex,scope_conflict,"IR-pack consolidated capex INR 287,427 million","Three IR packs repeat INR 287,427 million. The annual-report segment note totals INR 327,931 million on a different accounting perimeter and is excluded."
bharti_airtel,2019,net_debt,definition_change,"comparable net debt including finance lease obligations INR 1,129,899 million","The pre-lease net debt subtotal is INR 1,082,346 million; adding disclosed lease obligations of INR 47,553 million gives the comparable KPI used by later reports."
bharti_airtel,2021,earnings_before_tax,restatement_or_scope_change,"INR 22,586 million from four later official comparative tables","The earlier stored INR -42,063 million loss-before-tax basis is retained in the row note but replaced by the value repeated consistently across four FY2023-24 investor packs."
bharti_airtel,2020,earnings_before_tax,definition_conflict,"IR-pack profit before tax INR -44,819 million","Three FY2022-23 investor packs repeat INR -44,819 million. Annual-report KPI tables show INR -445,711 million under a different exceptional-item definition; that value is documented but not counted as exact corroboration."
bharti_airtel,2020,total_customers,restatement_or_scope_change,later comparative 422.100 million customers,"The FY2022-23 Q1 pack still states 423.287 million; Q2, Q3 and the FY2023 annual report consistently state 422.100 million, which is retained."
bharti_airtel,2022-2023,financials_and_group_kpis,scope_break,retain each year's exact official basis with warning,"Four FY2023-24 packs explicitly exclude the Indus consolidation impact for FY2022, while FY2023 onward is stored on the later recast basis; no unqualified growth comparison is valid across the boundary."
bharti_airtel,2020,network_towers,scope_conflict,"group KPI 219,546","The same reporting set also presents 194,409 under a narrower mobile-network scope."
reliance_jio,2020,value_of_sales_and_services,presentation_basis_conflict,"INR 69,605 crore from later official three-year table","An older narrative cited INR 68,462 crore under an earlier presentation basis."
reliance_jio,2023-2025,5g_base_stations,scope_break,retain disclosed figure with scope label,FY2023 reports sites; FY2024-25 report cells. No cross-break growth calculation is valid.
china_telecom/china_unicom,2020-2025,5g_base_stations,shared_network,same shared-network figure retained for both with warning,The figures describe co-built/shared mid-band stations and must never be summed across the two operators.
china_mobile/china_telecom/china_unicom,2019-2025,5g_subscribers,definition_change,package and network users stored as separate metrics,5G package subscribers and active/network subscribers are not interchangeable.
china_unicom,2023-2025,mobile_subscribers/fixed_broadband_subscribers,official_derived,prior official closing plus disclosed official net addition,Derived values are marked approximate; they are not presented as directly disclosed exact closings.
