subject,category,risk_level,risk_types,existing_dataset_markers,marked_in_current_data,analysis_rule,evidence_basis
中国移动,carrier,low,"standardized_table_vs_official_value; quarterly_reconciliation","official_conflict=114; source_gap_confirmed=2; official_only=141","yes_partial","公司主体本身未见需要单独标记的合并跳变风险；趋势分析优先使用 official_value，并对 capex、现金流等 official_conflict 行说明标准化表与官方口径差异。","quarterly_metrics.csv verification_status / verification_note; quarterly_metrics_summary.md 中国移动段落"
中国电信,carrier,low_to_medium,"standardized_table_vs_official_value; quarterly_reconciliation","official_conflict=127; source_gap_confirmed=14; official_only=112","yes_partial","公司主体本身不是主要跳变风险；但季度标准化表与官方口径冲突较多，正式结论必须使用 official_value，并在同比/趋势判断中说明披露或累计口径边界。","quarterly_metrics.csv verification_status / verification_note; quarterly_metrics_summary.md 中国电信段落"
中国联通,carrier,medium,"standardized_table_vs_official_value; official_disclosure_gap; quarterly_financial_disclosure_boundary","official_conflict=108; source_gap_confirmed=51; official_only=97","yes_partial","公司合并风险不是主因；风险来自部分期间官方未披露同口径单季字段。不得用标准化表估算 source_gap 行；可比趋势只用 official_match/official_only 的同口径官方值。","quarterly_metrics.csv verification_status / verification_note; quarterly_metrics_summary.md 中国联通段落"
中国铁塔,carrier,medium,"single_quarter_vs_cumulative_disclosure; standardized_table_vs_official_value; source_gap","official_conflict=41; source_gap_confirmed=166; official_only=132","yes_partial","公司主体合并风险较低；主要风险是官方公告常披露累计值或 KPI 而非同口径单季字段。预测或季度同比只允许使用已核验的单季 official_value，不得把累计值拆分估算。","quarterly_metrics.csv verification_status / verification_note; quarterly_metrics_summary.md 中国铁塔段落"
"HKT / csl / 1O1O",carrier,medium,"brand_group_structure; semiannual_disclosure; standardized_table_vs_official_segment_value","official_conflict=42; official_only=36; grain=half_year","yes_partial","存在品牌/业务组合口径导致的跳变误读风险；已标出半年度粒度和官方冲突，但未单列 corporate_action 字段。分析时按 HKT Trust and HKT Limited 官方半年度/年度口径，不把 csl/1O1O 单品牌变化当成集团收入跳变。","quarterly_metrics.csv subject/legal_name/grain/verification_status; quarterly_metrics_summary.md HKT 段落"
"3HK / Hutchison",carrier,medium,"group_business_structure; semiannual_disclosure; standardized_table_vs_official_segment_value","official_conflict=34; official_only=30; grain=half_year","yes_partial","存在 Hutchison 集团/3HK 品牌口径混淆风险；数据已按 Hutchison Telecommunications Hong Kong Holdings Limited 半年度口径列示。趋势分析用 official_value，并说明半年度而非季度数据。","quarterly_metrics.csv subject/legal_name/grain/verification_status; quarterly_metrics_summary.md 3HK / Hutchison 段落"
SmarTone,carrier,low_to_medium,"semiannual_disclosure; fiscal_year_boundary; standardized_table_vs_official_value","official_conflict=25; official_only=20; grain=half_year","yes_partial","未见明显公司合并跳变标记；主要风险是半年度/财年边界和标准化表冲突。趋势分析按 SmarTone 官方 H1/H2 或财年口径，避免与自然季度公司直接逐季比较。","quarterly_metrics.csv subject/grain/verification_status; quarterly_metrics_summary.md SmarTone 段落"
HKBN,carrier,medium_to_high,"semiannual_disclosure; adjusted_funds_flow_and_business_combination_sensitivity; standardized_table_vs_official_value","official_conflict=50; official_only=30; grain=half_year","yes_partial","HKBN 对收购整合、业务组合和 AFF/EBITDA 调整较敏感，存在公司动作或会计调整导致趋势跳变的潜在风险；当前数据已标官方冲突和半年度粒度，但未单列并购跳变字段。正式分析需看官方年报/中报说明，不能只看标准化表。","quarterly_metrics.csv subject/grain/verification_status; quarterly_metrics_summary.md HKBN 段落"
HGC,carrier,high,"private_company_source_gap; ownership_group_disclosure_boundary; non_public_financials","source_gap_confirmed=1; disclosure_frequency=not_publicly_disclosed","yes","非上市主体，公开周期财务表缺失。任何趋势或跳变判断都不能估算；只能说明 source gap，并把产品/市场情报与财务趋势分开。","quarterly_metrics.csv HGC source_gap row; quarterly_metrics_summary.md HGC 段落"
i-CABLE,carrier,medium,"semiannual_disclosure; restructuring/business_mix_sensitivity; standardized_table_vs_official_value","official_conflict=29; official_only=20; grain=half_year","yes_partial","存在业务结构变化或非核心损益影响趋势的潜在风险；当前已标半年度粒度和官方冲突，但未单列重组跳变字段。分析收入、EBITDA、净利润时需同时看官方公告说明和 official_value。","quarterly_metrics.csv subject/grain/verification_status; quarterly_metrics_summary.md i-CABLE 段落"
