云厂商/口径,公司全称,股票代码,指标,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,单位,披露口径,口径说明,主要来源
AWS,"Amazon.com, Inc.",AMZN,云收入/云相关分部收入,12219.0 USD million,17459.0 USD million,25655.0 USD million,35026.0 USD million,45370.0 USD million,62202.0 USD million,80096.0 USD million,90757 USD million,107556 USD million,128725 USD million,USD million,direct_segment,AWS 为 Amazon 直接披露业务分部，收入和经营利润可直接用于同业云业务比较。,Amazon quarterly results and filings: https://ir.aboutamazon.com/quarterly-results/default.aspx；Amazon Q1 2016 Form 10-Q AWS segment table: https://www.sec.gov/Archives/edgar/data/1018724/000101872416000227/amzn-20160331x10q.htm；Amazon Q2 2016 Form 10-Q AWS segment table: https://www.sec.gov/Archives/edgar/data/1018724/000101872416000286/amzn-20160630x10q.htm
AWS,"Amazon.com, Inc.",AMZN,收入同比增长,,42.9%,46.9%,36.5%,29.5%,37.1%,28.8%,13.3%,18.5%,19.7%,%,direct_segment,AWS 为 Amazon 直接披露业务分部，收入和经营利润可直接用于同业云业务比较。,Amazon quarterly results and filings: https://ir.aboutamazon.com/quarterly-results/default.aspx；Amazon Q1 2016 Form 10-Q AWS segment table: https://www.sec.gov/Archives/edgar/data/1018724/000101872416000227/amzn-20160331x10q.htm；Amazon Q2 2016 Form 10-Q AWS segment table: https://www.sec.gov/Archives/edgar/data/1018724/000101872416000286/amzn-20160630x10q.htm
AWS,"Amazon.com, Inc.",AMZN,经营利润/分部经营利润,3108.0 USD million,4331.0 USD million,7296.0 USD million,9201.0 USD million,13531.0 USD million,18532.0 USD million,22841.0 USD million,24631 USD million,39834 USD million,45606 USD million,USD million,direct_segment,AWS 为 Amazon 直接披露业务分部，收入和经营利润可直接用于同业云业务比较。,Amazon quarterly results and filings: https://ir.aboutamazon.com/quarterly-results/default.aspx；Amazon Q1 2016 Form 10-Q AWS segment table: https://www.sec.gov/Archives/edgar/data/1018724/000101872416000227/amzn-20160331x10q.htm；Amazon Q2 2016 Form 10-Q AWS segment table: https://www.sec.gov/Archives/edgar/data/1018724/000101872416000286/amzn-20160630x10q.htm
AWS,"Amazon.com, Inc.",AMZN,经营利润率/分部利润率,25.4%,24.8%,28.4%,26.3%,29.8%,29.8%,28.5%,27.1%,37.0%,35.4%,%,direct_segment,AWS 为 Amazon 直接披露业务分部，收入和经营利润可直接用于同业云业务比较。,Amazon quarterly results and filings: https://ir.aboutamazon.com/quarterly-results/default.aspx；Amazon Q1 2016 Form 10-Q AWS segment table: https://www.sec.gov/Archives/edgar/data/1018724/000101872416000227/amzn-20160331x10q.htm；Amazon Q2 2016 Form 10-Q AWS segment table: https://www.sec.gov/Archives/edgar/data/1018724/000101872416000286/amzn-20160630x10q.htm
Alibaba Cloud,Alibaba Group Holding Limited,BABA / 9988.HK,云收入/云相关分部收入,,,,,,,,103497 RMB million,106374 RMB million,118028 RMB million,RMB million,direct_segment_non_gaap_profit,收入为 Cloud Intelligence Group 分部收入；利润口径为非 GAAP 调整后 EBITA，不等同 IFRS/GAAP 经营利润。,"Alibaba Group FY2025 results PDF, Cloud Intelligence Group tables: https://data.alibabagroup.com/ecms-files/1532295521/83f92d1d-d36f-4ecd-a56c-2d3c59cb251a/Alibaba%20Group%20Announces%20March%20Quarter%202025%20and%20Fiscal%20Year%202025%20Results.pdf；Alibaba Group FY2024 results release, Cloud Intelligence Group FY2024/FY2023 tables: https://www.businesswire.com/news/home/20240513641121/en/Alibaba-Group-Announces-March-Quarter-2024-and-Fiscal-Year-2024-Results；Alibaba Investor Relations earnings and financials index: https://www.alibabagroup.com/ir-financial-reports-quarterly-results"
Alibaba Cloud,Alibaba Group Holding Limited,BABA / 9988.HK,收入同比增长,,,,,,,,,2.8%,11.0%,%,direct_segment_non_gaap_profit,收入为 Cloud Intelligence Group 分部收入；利润口径为非 GAAP 调整后 EBITA，不等同 IFRS/GAAP 经营利润。,"Alibaba Group FY2025 results PDF, Cloud Intelligence Group tables: https://data.alibabagroup.com/ecms-files/1532295521/83f92d1d-d36f-4ecd-a56c-2d3c59cb251a/Alibaba%20Group%20Announces%20March%20Quarter%202025%20and%20Fiscal%20Year%202025%20Results.pdf；Alibaba Group FY2024 results release, Cloud Intelligence Group FY2024/FY2023 tables: https://www.businesswire.com/news/home/20240513641121/en/Alibaba-Group-Announces-March-Quarter-2024-and-Fiscal-Year-2024-Results；Alibaba Investor Relations earnings and financials index: https://www.alibabagroup.com/ir-financial-reports-quarterly-results"
Alibaba Cloud,Alibaba Group Holding Limited,BABA / 9988.HK,调整后 EBITA,,,,,,,,4101 RMB million,6121 RMB million,10556 RMB million,RMB million,direct_segment_non_gaap_profit,收入为 Cloud Intelligence Group 分部收入；利润口径为非 GAAP 调整后 EBITA，不等同 IFRS/GAAP 经营利润。,"Alibaba Group FY2025 results PDF, Cloud Intelligence Group tables: https://data.alibabagroup.com/ecms-files/1532295521/83f92d1d-d36f-4ecd-a56c-2d3c59cb251a/Alibaba%20Group%20Announces%20March%20Quarter%202025%20and%20Fiscal%20Year%202025%20Results.pdf；Alibaba Group FY2024 results release, Cloud Intelligence Group FY2024/FY2023 tables: https://www.businesswire.com/news/home/20240513641121/en/Alibaba-Group-Announces-March-Quarter-2024-and-Fiscal-Year-2024-Results；Alibaba Investor Relations earnings and financials index: https://www.alibabagroup.com/ir-financial-reports-quarterly-results"
Alibaba Cloud,Alibaba Group Holding Limited,BABA / 9988.HK,调整后 EBITA 率,,,,,,,,4.0%,5.8%,8.9%,%,direct_segment_non_gaap_profit,收入为 Cloud Intelligence Group 分部收入；利润口径为非 GAAP 调整后 EBITA，不等同 IFRS/GAAP 经营利润。,"Alibaba Group FY2025 results PDF, Cloud Intelligence Group tables: https://data.alibabagroup.com/ecms-files/1532295521/83f92d1d-d36f-4ecd-a56c-2d3c59cb251a/Alibaba%20Group%20Announces%20March%20Quarter%202025%20and%20Fiscal%20Year%202025%20Results.pdf；Alibaba Group FY2024 results release, Cloud Intelligence Group FY2024/FY2023 tables: https://www.businesswire.com/news/home/20240513641121/en/Alibaba-Group-Announces-March-Quarter-2024-and-Fiscal-Year-2024-Results；Alibaba Investor Relations earnings and financials index: https://www.alibabagroup.com/ir-financial-reports-quarterly-results"
China Mobile Cloud,China Mobile Limited,0941.HK / 600941.SS,云收入/云相关分部收入,,,,,,,,83349 RMB million,100400 RMB million,,RMB million,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。,China Mobile 2024 Annual Report: https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf；China Mobile 2024 Annual Results Announcement: https://www.chinamobileltd.com/en/file/view.php?id=309957；China Mobile 2024 Annual Results Presentation: https://www.chinamobileltd.com/en/ir/webcasts/pre250320.pdf
China Mobile Cloud,China Mobile Limited,0941.HK / 600941.SS,收入同比增长,,,,,,,,,20.4%,,%,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。,China Mobile 2024 Annual Report: https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf；China Mobile 2024 Annual Results Announcement: https://www.chinamobileltd.com/en/file/view.php?id=309957；China Mobile 2024 Annual Results Presentation: https://www.chinamobileltd.com/en/ir/webcasts/pre250320.pdf
