dataset_id,disclosure_group,metric_key,metric_zh,priority,schema_present,available_value_rows,subjects_with_values,collection_status,collection_rule
quarterly_competitor_metrics_2026-08-18,financial,revenue,收入,high,yes,384,13,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,financial,service_revenue,服务收入,high,yes,79,4,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,financial,operating_income,经营利润,high,yes,210,11,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,financial,ebitda,EBITDA,high,yes,238,9,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,financial,ebitda_margin,EBITDA利润率,high,yes,142,4,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,financial,net_income,净利润,high,yes,224,9,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,financial,capital_expenditures,资本开支,high,yes,96,8,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,financial,operating_cash_flow,经营现金流,medium,yes,95,8,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,financial,free_cash_flow,自由现金流,medium,yes,95,8,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,financial,net_debt,净负债,medium,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,financial,dividend_per_share,每股股息,medium,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,financial,employees,员工数,low,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,cloud,cloud_revenue,云收入,high,yes,20,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,cloud,cloud_revenue_growth,云收入增长,high,yes,19,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,cloud,cloud_operating_income,云经营利润,high,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,cloud,cloud_operating_margin,云经营利润率,high,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,cloud,remaining_performance_obligations,剩余履约义务/RPO,medium,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,cloud,cloud_backlog,云订单积压,medium,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,cloud,cloud_regions,云区域数,low,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,cloud,availability_zones,可用区数,low,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
quarterly_competitor_metrics_2026-08-18,cloud,data_centers,数据中心数,low,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,mobile_subscribers,移动用户,high,yes,30,3,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,4g_subscribers,4G用户,medium,yes,14,3,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,5g_package_subscribers,5G套餐用户,high,yes,16,3,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,5g_network_subscribers,5G网络用户,high,yes,10,4,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,fixed_broadband_subscribers,固网宽带用户,high,yes,29,3,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,mobile_arpu,移动ARPU,high,yes,30,4,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,broadband_arpu,宽带ARPU,medium,yes,7,2,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,household_customer_blended_arpu,家庭客户综合ARPU,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,mobile_dou,户均移动流量DOU,high,yes,19,3,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,handset_data_traffic,手机数据流量,high,yes,19,2,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,network,total_base_stations,基站总数,medium,yes,6,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,network,4g_base_stations,4G基站,medium,yes,5,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,network,5g_base_stations,5G基站,high,yes,22,4,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,churn,用户流失率,medium,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,network,5g_population_coverage,5G人口覆盖率,medium,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,network,spectrum_holdings,频谱持有量,low,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,iot_connections,物联网连接,high,yes,2,2,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,integrated_broadband_network_customers,融合宽带网络客户,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,gigabit_broadband_customers,千兆宽带客户,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,mobile_broadband_integration_rate,移动宽带融合率,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,government_enterprise_customers,政企客户,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,total_connectivity_subscribers,连接用户总规模,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,integrated_subscriber_penetration,融合用户渗透率,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,integrated_package_arpu,融合套餐ARPU,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,5g_network_penetration,5G网络用户渗透率,high,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,operating,gigabit_broadband_penetration,千兆宽带渗透率,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,network,mobile_population_coverage,移动网络人口覆盖率,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,network,5g_a_deployment_cities,5G-A部署城市,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,network,ten_g_pon_ports,10G PON端口,low,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,network,urban_gigabit_coverage,城市千兆覆盖率,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,network,households_gigabit_coverage,千兆网络覆盖家庭,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,digital,intelligent_compute_capacity,智能算力,medium,yes,2,2,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
global_top5_operators_2016_2025,digital,cloud_ai_product_users,云AI产品用户,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,operating,total_customers,总客户,high,yes,16,2,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,operating,mobile_postpaid_customers,后付用户,high,yes,20,2,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,operating,mobile_prepaid_customers,预付用户,medium,yes,10,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,operating,5g_customers,5G用户,high,yes,6,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,operating,5g_penetration,5G渗透率,medium,yes,12,3,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,operating,consumer_broadband_customers,住宅宽带用户,high,yes,8,3,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,operating,ftth_connections,FTTH连接,medium,yes,4,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,network,homes_passed_or_connected,覆盖/连接住户,medium,yes,7,3,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,operating,mobile_postpaid_arpu,后付ARPU,high,yes,15,2,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,operating,mobile_postpaid_churn,后付流失率,medium,yes,26,3,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,operating,mobile_data_dou,户均移动流量DOU,high,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,operating,annual_mobile_data_traffic,年度移动数据流量,high,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,network,total_base_stations,基站总数,medium,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,network,5g_base_stations,5G基站,high,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,network,5g_population_coverage,5G人口覆盖率,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
local_hk_operator_operating_metrics_2016_2025,network,spectrum_holdings,频谱持有量,low,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,demography,population,人口,high,yes,10,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,demography,households,住户数,medium,yes,10,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,economy,median_monthly_household_income,住户月入中位数,high,yes,134,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,economy,nominal_gdp,名义GDP,high,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,economy,real_gdp_growth,实际GDP增长,high,yes,41,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,economy,consumer_price_index,消费物价指数,high,yes,1488,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,economy,unemployment_rate,失业率,high,yes,125,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,economy,retail_sales,零售销售,medium,yes,620,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,telecom_market,mobile_subscriptions,移动用户/登记数,high,yes,73,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,telecom_market,fixed_broadband_subscriptions,固定宽带登记数,high,yes,85,2,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,telecom_market,5g_subscriptions,5G登记数,high,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,telecom_market,mobile_data_traffic,移动数据流量,high,yes,10,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,telecom_market,mobile_number_porting,携号转网,medium,no,0,0,missing_common_disclosure,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,telecom_market,telecom_complaints,电讯投诉,medium,yes,4,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
cmhk_macro_policy_2026-06-19,telecom_market,spectrum_assignments,频谱分配,medium,yes,1,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
competitor_product_tariffs,pricing,月费_HKD,月费,high,yes,1994,11,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
competitor_product_tariffs,pricing,平均月费_HKD,平均月费,high,yes,111,4,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
competitor_product_tariffs,pricing,公开价格_HKD,公开价格,medium,yes,2,1,present,Only write a value after >=3 distinct source documents; never estimate a source gap.
